2.0	1.0	The Mechanical Licensing Collective	PADPIDA2020062405C			2026-07-04T18:29:39.406049Z
MusicalWorks	musicalworks.tsv	59354611	7F2E77C8D03154E2CD5C7A0740E12E7D
AlternativeMusicalWorkTitles	alternativemusicalworktitles.tsv	13964237	6B8B081DCFDF25BB33748E238A8A7634
MusicalWorkIdentifiers	musicalworkidentifiers.tsv	52347286	F6E5D68B8A2E03EF28F45D86920051FD
Parties	parties.tsv	5848533	09223444D247464DE3C9AA6882950254
MusicalWorkRightShares	musicalworkrightshares.tsv	188499867	ADBC53F43646F31116B793C33B41E11E
Resources	resources.tsv	1152408078	85E97B28B8D3BF042854A0708B2264B7
AlternativeResourceTitles	alternativeresourcetitles.tsv	0	C6A22172BAC1297D2528F771E9BC03F5
ResourceIdentifiers	resourceidentifiers.tsv	1152755936	06B566523301883AFBC397EAE121BF41
Releases	releases.tsv	419050792	C554E4958D19EFE0B29BB8F6DF38B3EF
ReleaseIdentifiers	releaseidentifiers.tsv	246994623	14F3000F7564C53E66A92DA9629C349C
WorkResourceLinks	workresourcelinks.tsv	307468304	2CCFA86B1B6F1ECC3274C8F915A27B3F
UnclaimedMusicalWorkRightShares	unclaimedmusicalworkrightshares.tsv	67092413	38D5DC1E1C036C7B1B342AFD9C3422B8
UnmatchedResources	unmatchedresources.tsv	845286168	01C3B168AD3B71513B520F91D06DDD1D
EOF	15
